tactic,counter,prob
simp,6278,0.07097715119105494
rfl,3786,0.042803360052458425
ext,1904,0.021526042667691717
constructor,1869,0.021130343353947385
ring,907,0.01025426507331743
congr,864,0.00976812020214582
ext x,740,0.008366214062023042
intro h,732,0.008275768504595766
positivity,669,0.007563509739855965
omega,644,0.007280867372895727
norm_num,613,0.006930390837865032
dsimp,608,0.006873862364472985
gcongr,591,0.0066816655549400234
rintro rfl,530,0.005992018179557043
linarith,427,0.0048275316276808625
intro x hx,426,0.0048162259330024534
congr 1,415,0.0046918632915399485
infer_instance,401,0.004533583566042216
norm_cast,391,0.004420526619258121
rw [this],360,0.004070050084227426
simp [h],348,0.003934381748086511
swap,337,0.0038100191066240065
decide,332,0.003753490633231959
intro x,327,0.0036969621598399115
rw [h],323,0.003651739381126273
simpa,304,0.0034369311822364927
aesop,257,0.0029055635323512454
intro i,250,0.0028264236696023785
intro n,234,0.0026455325547478266
assumption,227,0.0025663926919989597
intro,226,0.00255508699732055
ext i,224,0.002532475607963731
push_cast,221,0.0024985585239285027
split_ifs with h,221,0.0024985585239285027
contradiction,220,0.002487252829250093
aesop_cat,215,0.0024307243558580457
exact h,211,0.0023855015771444077
abel,206,0.0023289731037523602
symm,194,0.002193304767611446
apply le_antisymm,191,0.0021593876835762174
intros,183,0.0020689421261489414
tauto,182,0.002057636431470532
subst h,181,0.0020463307367921224
ext1,165,0.00186543962193757
exfalso,146,0.0016506314230477891
ring_nf,145,0.0016393257283693796
right,142,0.0016054086443341511
split_ifs,135,0.0015262687815852845
field_simp,135,0.0015262687815852845
cases n,134,0.001514963086906875
ext1 x,132,0.001492351697550056
left,129,0.0014584346135148275
dsimp only,127,0.0014358232241580085
simp_all,127,0.0014358232241580085
apply h,126,0.001424517529479599
exact this,125,0.0014132118348011893
simpa using h,124,0.0014019061401227798
ring1,123,0.0013906004454443703
contrapose! h,119,0.0013453776667307323
intro i hi,118,0.0013340719720523228
cases h,116,0.0013114605826955038
split,115,0.0013001548880170943
constructor <;> intro h,114,0.0012888491933386848
intro H,113,0.001277543498660275
ext n,112,0.0012662378039818656
intro y hy,109,0.001232320719946637
simp [hx],108,0.0012210150252682276
ext j,107,0.0012097093305898181
congr 2,107,0.0012097093305898181
induction' n with n ih,105,0.0011870979412329991
ext i j,105,0.0011870979412329991
ext y,101,0.001141875162519361
rw [mul_comm],101,0.001141875162519361
fun_prop,100,0.0011305694678409514
by_contra h,100,0.0011305694678409514
ext a,96,0.0010853466891273134
rw [← h],92,0.0010401239104136754
intro a,89,0.0010062068263784467
subst_vars,88,0.0009949011317000372
simp [this],87,0.0009835954370216277
cases x,85,0.0009609840476648087
simp [*],85,0.0009609840476648087
rw [add_comm],82,0.0009270669636295803
norm_num1,78,0.0008818441849159422
trivial,77,0.0008705384902375327
intro s hs,74,0.0008366214062023041
coherence,73,0.0008253157115238946
cases' n with n,71,0.0008027043221670756
intro j,71,0.0008027043221670756
simp at h,70,0.0007913986274886661
rw [← this],67,0.0007574815434534375
nontriviality R,67,0.0007574815434534375
by_cases hx : x = 0,63,0.0007122587647397995
push_neg,62,0.0007009530700613899
simp only,62,0.0007009530700613899
intro x y,61,0.0006896473753829804
intro m hm,61,0.0006896473753829804
simpa using this,59,0.0006670359860261614
exact hx,59,0.0006670359860261614
cases nonempty_fintype ι,57,0.0006444245966693424
push_neg at h,56,0.0006331189019909328
rw [one_mul],56,0.0006331189019909328
ext m,56,0.0006331189019909328
ext <;> simp,55,0.0006218132073125233
by_contra! h,55,0.0006218132073125233
contrapose!,54,0.0006105075126341138
ext v,54,0.0006105075126341138
simpa using hx,54,0.0006105075126341138
funext x,52,0.0005878961232772948
intro b hb,51,0.0005765904285988853
induction' k with k ih,51,0.0005765904285988853
intro j hj,51,0.0005765904285988853
ac_rfl,50,0.0005652847339204757
tfae_finish,50,0.0005652847339204757
induction' n with n hn,49,0.0005539790392420662
exact le_rfl,49,0.0005539790392420662
induction' n with n IH,49,0.0005539790392420662
intro a ha,49,0.0005539790392420662
convert this,48,0.0005426733445636567
ext1 n,47,0.0005313676498852472
intro hx,47,0.0005313676498852472
intro p hp,46,0.0005200619552068377
intro hf,46,0.0005200619552068377
funext,46,0.0005200619552068377
apply H,45,0.0005087562605284282
intro n hn,45,0.0005087562605284282
rw [mul_one],45,0.0005087562605284282
intro t,44,0.0004974505658500186
intro s,44,0.0004974505658500186
intro t ht,44,0.0004974505658500186
intro f,43,0.0004861448711716091
intro y,42,0.0004748391764931996
"refine ⟨fun h => ?_, fun h => ?_⟩",42,0.0004748391764931996
intro b,42,0.0004748391764931996
ext x y,42,0.0004748391764931996
intro ε hε,42,0.0004748391764931996
intro z hz,41,0.00046353348181479013
rintro ⟨⟩,41,0.00046353348181479013
intro g,41,0.00046353348181479013
rotate_left,41,0.00046353348181479013
exact H,41,0.00046353348181479013
ext z,41,0.00046353348181479013
ext t,41,0.00046353348181479013
ext p,40,0.0004522277871363806
ext p q hpq,40,0.0004522277871363806
intro e,40,0.0004522277871363806
exact zero_le _,40,0.0004522277871363806
simp [hp],39,0.0004409220924579711
ext s,39,0.0004409220924579711
congr!,39,0.0004409220924579711
simp [ha],38,0.0004296163977795616
intro z,38,0.0004296163977795616
apply congr_arg,38,0.0004296163977795616
contrapose! hx,38,0.0004296163977795616
congr with x,38,0.0004296163977795616
"ext ⟨x, y⟩",38,0.0004296163977795616
refine le_antisymm ?_ ?_,37,0.00041831070310115203
exact Iff.rfl,37,0.00041831070310115203
nlinarith,37,0.00041831070310115203
simp [hn],37,0.00041831070310115203
simp [eq_iff_true_of_subsingleton],36,0.00040700500842274254
subst this,35,0.00039569931374433304
split_ifs <;> simp,35,0.00039569931374433304
intro a b,35,0.00039569931374433304
use 0,35,0.00039569931374433304
cases f,34,0.0003843936190659235
intro r,34,0.0003843936190659235
intro x _,34,0.0003843936190659235
ext s hs,34,0.0003843936190659235
exact one_ne_zero,34,0.0003843936190659235
fconstructor,34,0.0003843936190659235
revert h,34,0.0003843936190659235
ext f,34,0.0003843936190659235
rw [mul_assoc],34,0.0003843936190659235
exact le_top,34,0.0003843936190659235
ext b,33,0.000373087924387514
mfld_set_tac,33,0.000373087924387514
use n,33,0.000373087924387514
rw [pow_succ],33,0.000373087924387514
cases i,33,0.000373087924387514
ext1 s hs,33,0.000373087924387514
by_contra H,33,0.000373087924387514
split_ifs <;> rfl,33,0.000373087924387514
simp (config := { contextual := true }),32,0.0003617822297091045
subst e,32,0.0003617822297091045
intro m,31,0.00035047653503069494
intro h',31,0.00035047653503069494
cases a <;> rfl,31,0.00035047653503069494
simp [mul_assoc],31,0.00035047653503069494
by_cases hp : p = 0,31,0.00035047653503069494
rw [eq_top_iff],31,0.00035047653503069494
"refine ⟨fun h => ?_, ?_⟩",30,0.00033917084035228545
injection h,30,0.00033917084035228545
by_cases ha : a = 0,30,0.00033917084035228545
cases isEmpty_or_nonempty ι,30,0.00033917084035228545
cases y,30,0.00033917084035228545
cases e,30,0.00033917084035228545
"rintro ⟨rfl, rfl⟩",30,0.00033917084035228545
use 1,30,0.00033917084035228545
cases a,30,0.00033917084035228545
apply Subset.antisymm,30,0.00033917084035228545
rw [hx],29,0.00032786514567387595
intro k,29,0.00032786514567387595
rw [sub_eq_add_neg],29,0.00032786514567387595
exact hf,29,0.00032786514567387595
simp_rw [this],29,0.00032786514567387595
intro _,29,0.00032786514567387595
intro c,29,0.00032786514567387595
by_cases hy : y = 0,29,0.00032786514567387595
cases x <;> rfl,29,0.00032786514567387595
funext i,28,0.0003165594509954664
apply Subtype.ext,28,0.0003165594509954664
ext1 ω,28,0.0003165594509954664
map_simp,28,0.0003165594509954664
simp [w],28,0.0003165594509954664
cases n <;> rfl,27,0.0003052537563170569
contrapose! H,27,0.0003052537563170569
ext : 1,27,0.0003052537563170569
simp [sub_eq_add_neg],27,0.0003052537563170569
by_cases hG : CompleteSpace G,27,0.0003052537563170569
exact id,27,0.0003052537563170569
simp only [mfld_simps],27,0.0003052537563170569
apply forall_congr',27,0.0003052537563170569
use k,27,0.0003052537563170569
split_ifs with h <;> simp [h],27,0.0003052537563170569
"rintro ⟨y, rfl⟩",26,0.0002939480616386474
continuity,26,0.0002939480616386474
rintro h,26,0.0002939480616386474
apply Subsingleton.elim,26,0.0002939480616386474
simp [div_eq_mul_inv],26,0.0002939480616386474
intro k hk,26,0.0002939480616386474
exact ha,26,0.0002939480616386474
apply Subtype.eq,26,0.0002939480616386474
intro u hu,26,0.0002939480616386474
simpa using hs,26,0.0002939480616386474
convert h,26,0.0002939480616386474
intro x y hxy,25,0.00028264236696023785
simp [e],25,0.00028264236696023785
intro i _,25,0.00028264236696023785
simp [hr],25,0.00028264236696023785
simp [h0],25,0.00028264236696023785
intro x y h,25,0.00028264236696023785
"rw [← comp_apply, h, comp_apply]",25,0.00028264236696023785
"refine ⟨fun h ↦ ?_, fun h ↦ ?_⟩",25,0.00028264236696023785
intro i j,25,0.00028264236696023785
rw [add_zero],25,0.00028264236696023785
cases m,24,0.00027133667228182836
ext1 a,24,0.00027133667228182836
by_cases hn : n = 0,24,0.00027133667228182836
congr 3,24,0.00027133667228182836
"rintro ⟨x, hx⟩",24,0.00027133667228182836
clear this,24,0.00027133667228182836
simp [hy],24,0.00027133667228182836
intro i j hij,24,0.00027133667228182836
"rw [← neg_inj, oangle_rev, ← oangle_neg_orientation_eq_neg, neg_inj] at h ⊢",24,0.00027133667228182836
rw [e],24,0.00027133667228182836
rintro x hx,24,0.00027133667228182836
ext a b,23,0.00026003097760341886
exact h₁,23,0.00026003097760341886
cases p,23,0.00026003097760341886
use a,23,0.00026003097760341886
cases this,23,0.00026003097760341886
"rintro ⟨y, hy⟩",23,0.00026003097760341886
apply Finset.sum_congr rfl,23,0.00026003097760341886
rw [eq],23,0.00026003097760341886
by_cases hf : Integrable f μ,23,0.00026003097760341886
sz_positivity,23,0.00026003097760341886
ext X,23,0.00026003097760341886
induction θ using Real.Angle.induction_on,23,0.00026003097760341886
apply this,23,0.00026003097760341886
simp [hi],23,0.00026003097760341886
apply hx,22,0.0002487252829250093
dsimp at this,22,0.0002487252829250093
"rintro _ ⟨x, hx, rfl⟩",22,0.0002487252829250093
cases nonempty_fintype α,22,0.0002487252829250093
intro U hU,22,0.0002487252829250093
rw [H],22,0.0002487252829250093
rw [div_eq_mul_inv],22,0.0002487252829250093
rw [inter_comm],22,0.0002487252829250093
intro c hc,22,0.0002487252829250093
congr with i,22,0.0002487252829250093
filter_upwards [self_mem_nhdsWithin],22,0.0002487252829250093
intro _ _,22,0.0002487252829250093
convert this using 1,22,0.0002487252829250093
ext1 f,21,0.0002374195882465998
rw [eq_bot_iff],21,0.0002374195882465998
revert this,21,0.0002374195882465998
"rintro ⟨i, hi⟩",21,0.0002374195882465998
rw [ih],21,0.0002374195882465998
simp [eq_comm],21,0.0002374195882465998
contrapose,21,0.0002374195882465998
exact ih,21,0.0002374195882465998
intro w,21,0.0002374195882465998
apply hf,21,0.0002374195882465998
exact mod_cast h,20,0.0002261138935681903
rw [if_neg],20,0.0002261138935681903
cases s,20,0.0002261138935681903
eval_simp,20,0.0002261138935681903
"rintro _ ⟨x, rfl⟩",20,0.0002261138935681903
"exact ⟨_, rfl⟩",20,0.0002261138935681903
tfae_have 1 → 2,20,0.0002261138935681903
rw [eq_comm],20,0.0002261138935681903
exact h.1,20,0.0002261138935681903
rw [← sub_eq_zero],20,0.0002261138935681903
all_goals positivity,20,0.0002261138935681903
ext a s hs,20,0.0002261138935681903
cases b,20,0.0002261138935681903
